text,label
FLASH SALE | LIMITED TIME ONLY Shop Now,Dark Patterns Found
In demand,Dark Patterns Found
Hurry! Only 2 left in stock,Dark Patterns Found
In Stock only 3 left,Dark Patterns Found
Hurry! Only 2 left,Dark Patterns Found
ONLY 8 LEFT,Dark Patterns Found
OUR BEST SELLING GOGGLE,Dark Patterns Found
"1,142 people have added to cart recently",Dark Patterns Found
Limited Availability,Dark Patterns Found
No thanks. I don't like free things...,Dark Patterns Found
"Michael in Pontiac, United States purchased a  ",Dark Patterns Found
9 people are viewing this.,Dark Patterns Found
"894 Claimed! Hurry, only a few left!",Dark Patterns Found
77 PEOPLE LIKE THIS,Dark Patterns Found
4 items left,Dark Patterns Found
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,Dark Patterns Found
Offer ends in,Dark Patterns Found
"Another babe in Alexandria, United States just ordered Flat Tummy Tea",Dark Patterns Found
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Dark Patterns Found
24 sold in last 24 hours.,Dark Patterns Found
Only 7 left in stock.,Dark Patterns Found
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,Dark Patterns Found
1 in Stock,Dark Patterns Found
Low Stock Alert: Only 8 left in inventory,Dark Patterns Found
"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",Dark Patterns Found
I don't feel lucky,Dark Patterns Found
Only 3 items left,Dark Patterns Found
"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",Dark Patterns Found
45 ADDED TO BAG IN THE PAST 24 HOURS,Dark Patterns Found
87% offers claimed. Hurry up!,Dark Patterns Found
HURRY! £32.99 UK DELIVERY ENDS SOON,Dark Patterns Found
ONLY 3 LEFT,Dark Patterns Found
8 items left,Dark Patterns Found
19 people viewed this product per day,Dark Patterns Found
96 ITEM(S) LEFT IN STOCK!,Dark Patterns Found
Only 1 left In Stock,Dark Patterns Found
Availability: Only 4 Left!,Dark Patterns Found
Your order is reserved for 09:54 minutes!,Dark Patterns Found
This size has only 1 left in stock,Dark Patterns Found
HOT PRODUCT Over 250 people are looking at this item.,Dark Patterns Found
I don't want to save money,Dark Patterns Found
HURRY! ONLY 2 LEFT IN STOCK!,Dark Patterns Found
DEAL ENDS IN 40:55:13,Dark Patterns Found
Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS,Dark Patterns Found
Only 1 Left,Dark Patterns Found
Only 33 left,Dark Patterns Found
"Hurry, only a few left!",Dark Patterns Found
Only 11 left!,Dark Patterns Found
Hurry! Only 6 left in stock,Dark Patterns Found
40 users are currently active on our website just now.,Dark Patterns Found
90% offers claimed. Hurry up!,Dark Patterns Found
"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace",Dark Patterns Found
7 people looked at this product in the last 24 hours.,Dark Patterns Found
18 In Stock,Dark Patterns Found
Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.,Dark Patterns Found
00:15:07:45,Dark Patterns Found
"No, I'll rather pay full price.",Dark Patterns Found
Only 9 Left.,Dark Patterns Found
1 person is viewing this,Dark Patterns Found
Your order is reserved for 09:14 minutes! ,Dark Patterns Found
Limited time remaining!,Dark Patterns Found
"No thanks, I'll pay full price",Dark Patterns Found
Only 7 left in stock!,Dark Patterns Found
Only 5 item(s) left.,Dark Patterns Found
(only 5 left),Dark Patterns Found
I'll Shop Without A Discount,Dark Patterns Found
Only 11 Left In Stock,Dark Patterns Found
Bought by 39 people in last few hours! HOT SELLER!,Dark Patterns Found
Your order is reserved for 08:48 minutes!,Dark Patterns Found
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds,Dark Patterns Found
Only 1 Item(s) left,Dark Patterns Found
Discount pending $10 OFF 00:30:00,Dark Patterns Found
Limited Time: $10 Off! Discount Reflected In Price!,Dark Patterns Found
IN 43 PEOPLE'S SHOPPING BAG,Dark Patterns Found
Hurry up! Prices increase in 0 DAYS 11 HRS 59 MINS 55 SECS,Dark Patterns Found
"BERNARD in Philadelphia, United States purchased a",Dark Patterns Found
"NO THANKS, I DON’T MIND MISSING OUT",Dark Patterns Found
"Hurry, only 1 left!",Dark Patterns Found
Only 26 Left,Dark Patterns Found
7 sold in last 24 hours,Dark Patterns Found
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Dark Patterns Found
HURRY UP > 09H 42M 39S,Dark Patterns Found
"Someone in Sasebo, Japan just bought",Dark Patterns Found
80 Customers are considering this product right now.,Dark Patterns Found
88 PEOPLE VIEWED ITEM IN THE LAST 24 HOURS,Dark Patterns Found
ONLY 2 LEFT IN STOCK!,Dark Patterns Found
Only few items left in stock,Dark Patterns Found
Only 1.75 yards left in stock!,Dark Patterns Found
71 people have purchased this item,Dark Patterns Found
Only 8 left,Dark Patterns Found
Subscribe & Save,Dark Patterns Found
"Long Dress Style Beach Cover Up With Lace Detail Jessica in Metairie, United States",Dark Patterns Found
"Someone in Kilwinning, United Kingdom just bought Cuban Link Chain Bracelet",Dark Patterns Found
00DAYS00HOURS14MINUTES21SECONDS,Dark Patterns Found
Hurry! Only 1 left in size M!!,Dark Patterns Found
Items in your cart are in high demand.,Dark Patterns Found
Limited stock Only 2 left,Dark Patterns Found
Over 500 left in stock,Dark Patterns Found
Hurry up! 6 people other than you have this product in their cart,Dark Patterns Found
1 LEFT,Dark Patterns Found
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Dark Patterns Found
I do not want to protect my item,Dark Patterns Found
Add to Your Gift and We'll Ship it For Free!,Dark Patterns Found
"25,439 people have viewed this item",Dark Patterns Found
No thanks I definitely measured correctly,Dark Patterns Found
57 PEOPLE HAVE LOOKED AT THIS TODAY,Dark Patterns Found
Theresa from Botkins just bought Panoply 14918 A-line Lace Formal Dress,Dark Patterns Found
"Before you check out, can we tempt you?",Dark Patterns Found
"When you join the PetPlus Plan, you are given the option to purchase your membership on an annual or monthly basis and you are automatically enrolled in our recurring billing program. You may cancel at any time by contacting our customer service team, but you will not be refunded for any unused days on your membership if you choose to cancel prior to the end of your billing cycle. You may cancel your PetPlus membership at any time without penalty if you have not utilized any of your PetPlus benefits (including discounts on products and/or services). For customers charged on a monthly basis, if you have purchased products or used services using your PetPlus benefits, we will charge a $25 administrative fee per membership cancellation if the membership is cancelled within three months of enrollment.",Dark Patterns Found
Limited quantity remaining,Dark Patterns Found
"128 sold today! Hurry, only a few left!",Dark Patterns Found
4 people are looking at this right now.,Dark Patterns Found
"No thanks, I dont want a discount",Dark Patterns Found
"Someone from Portland, United States (US) purchased MODALERT recently.",Dark Patterns Found
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Dark Patterns Found
2 people are viewing this,Dark Patterns Found
HURRY! ONLY 1 IN STOCK!,Dark Patterns Found
LAST CHANCE TO ACTIVATE 10% OFF,Dark Patterns Found
Your order is reserved for 09:45 minutes!,Dark Patterns Found
only 5 left,Dark Patterns Found
78 Persons looking for this product,Dark Patterns Found
227 Bought Already,Dark Patterns Found
Hurry! Only Limited Items Left,Dark Patterns Found
Strong demand! Complete your order before it's too late!,Dark Patterns Found
Your order is reserved for 09:56 minutes!,Dark Patterns Found
"Sudha rana from Jaipur bought this product, 23 Mins ago.",Dark Patterns Found
6 others have already bought this deal today!,Dark Patterns Found
